segment,customers,customer_share_pct,revenue,revenue_share_pct,avg_recency_days,avg_frequency,avg_monetary
1_Champions,2272,7.6,866044.0,38.1,79.0,6.92,381.2
2_Loyal,1814,6.1,289211.0,12.7,174.0,3.72,159.4
3_Potential Loyalist,1845,6.2,140526.0,6.2,99.0,2.0,76.2
4_New Customers,6905,23.0,226296.0,10.0,97.0,1.0,32.8
5_At Risk,981,3.3,164992.0,7.3,468.0,3.86,168.2
6_Need Attention,5152,17.2,188312.0,8.3,272.0,1.16,36.6
7_Hibernating,1465,4.9,101394.0,4.5,503.0,2.0,69.2
8_Lost,9548,31.8,295613.0,13.0,536.0,1.0,31.0
